"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"321",3543.76000976562,3588.11010742188,3535.22998046875,3580.84008789062,4295640000,3580.84008789062
"322",3564.73999023438,3564.85009765625,3427.40991210938,3455.06005859375,4911830000,3455.06005859375
"323",3453.60009765625,3479.14990234375,3349.6298828125,3426.9599609375,4438720000,3426.9599609375
"324",3371.8798828125,3379.96997070312,3329.27001953125,3331.84008789062,4694330000,3331.84008789062
"325",3369.82006835938,3424.77001953125,3366.84008789062,3398.9599609375,3932520000,3398.9599609375
"326",3412.56005859375,3425.55004882812,3329.25,3339.18994140625,4208630000,3339.18994140625
"327",3352.69995117188,3368.94995117188,3310.46997070312,3340.96997070312,3710090000,3340.96997070312
"328",3363.56005859375,3402.92993164062,3363.56005859375,3383.5400390625,3839580000,3383.5400390625
"329",3407.72998046875,3419.47998046875,3389.25,3401.19995117188,4057190000,3401.19995117188
"330",3411.22998046875,3428.919921875,3384.44995117188,3385.48999023438,4718900000,3385.48999023438
"331",3346.86010742188,3375.169921875,3328.82006835938,3357.01000976562,4379840000,3357.01000976562
"332",3357.3798828125,3362.27001953125,3292.39990234375,3319.46997070312,7076400000,3319.46997070312
"333",3285.57006835938,3285.57006835938,3229.10009765625,3281.06005859375,4836070000,3281.06005859375
"334",3295.75,3320.31005859375,3270.94995117188,3315.57006835938,3974510000,3315.57006835938
"335",3320.11010742188,3323.35009765625,3232.57006835938,3236.919921875,4378650000,3236.919921875
"336",3226.13989257812,3278.69995117188,3209.44995117188,3246.59008789062,4601920000,3246.59008789062
"337",3236.65991210938,3306.8798828125,3228.43994140625,3298.4599609375,3803330000,3298.4599609375
"338",3333.89990234375,3360.73999023438,3332.90991210938,3351.60009765625,3950910000,3351.60009765625
"339",3350.919921875,3357.919921875,3327.5400390625,3335.46997070312,3661590000,3335.46997070312
"340",3341.2099609375,3393.56005859375,3340.46997070312,3363,4738640000,3363
"341",3385.8701171875,3397.17993164062,3361.38989257812,3380.80004882812,4076340000,3380.80004882812
"342",3338.93994140625,3369.10009765625,3323.68994140625,3348.419921875,3975180000,3348.419921875
"343",3367.27001953125,3409.57006835938,3367.27001953125,3408.60009765625,3692720000,3408.60009765625
"344",3408.73999023438,3431.56005859375,3354.5400390625,3360.96997070312,4453390000,3360.96997070312
"345",3384.56005859375,3426.26000976562,3384.56005859375,3419.43994140625,3814750000,3419.43994140625
"346",3434.28002929688,3447.28002929688,3428.14990234375,3446.830078125,3867640000,3446.830078125
"347",3459.669921875,3482.34008789062,3458.07006835938,3477.13989257812,3944090000,3477.13989257812
"348",3500.02001953125,3549.85009765625,3499.61010742188,3534.21997070312,3435760000,3534.21997070312
"349",3534.01000976562,3534.01000976562,3500.86010742188,3511.92993164062,3611100000,3511.92993164062
"350",3515.46997070312,3527.93994140625,3480.55004882812,3488.669921875,3858510000,3488.669921875
